Region,Year,Actual,SARIMAX_Forecast,AE,APE
Philippines,2021,16681139.0,16605430.997078903,75708.00292109698,0.45385391801541236
Philippines,2022,16598803.79,16546995.667406993,51808.12259300612,0.31211961565699137
Philippines,2023,16558031.49,16488599.597680356,69431.89231964387,0.4193245577626563
Philippines,2024,16501712.27,16430230.394606963,71481.87539303675,0.4331785345875308
NCR,2021,2922.458232,2921.4273494493723,1.0308825506276662,0.03527450073844772
NCR,2022,2916.650321,2919.320522592369,2.6702015923688123,0.09155028194992224
NCR,2023,2916.426859,2917.281251869262,0.8543928692620284,0.02929587850370392
NCR,2024,2911.582151,2915.307744524282,3.725593524281976,0.12795769897828227
CAR,2021,1238152.744,1231278.741544153,6874.002455846872,0.5551821040786606
CAR,2022,1235173.425,1228257.910994971,6915.514005029108,0.5598820266902285
CAR,2023,1231491.51,1225241.3577210205,6250.152278979542,0.5075270294782253
CAR,2024,1228299.207,1222228.013427193,6071.193572806893,0.4942764383635146
I - Ilocos Region,2021,521404.7436,521366.469977043,38.27362295700004,0.007340482307994108
I - Ilocos Region,2022,521143.2021,521074.38665156136,68.8154484386323,0.01320470998399929
I - Ilocos Region,2023,520842.7382,520787.7196854333,55.01851456670556,0.010563364050509009
I - Ilocos Region,2024,520408.3956,520506.13761120394,97.74201120395446,0.018781789846273277
II - Cagayan Valley,2021,1442217.251,1432388.7273477828,9828.523652217118,0.6814870398618689
II - Cagayan Valley,2022,1439544.516,1428292.993574934,11251.522425065981,0.7816029514898295
II - Cagayan Valley,2023,1436066.163,1424198.361071801,11867.801928198896,0.826410525780134
II - Cagayan Valley,2024,1433013.069,1420104.249081104,12908.819918895839,0.9008166218542588
III - Central Luzon,2021,885575.2803,884109.0118230701,1466.2684769298648,0.16557242614463535
III - Central Luzon,2022,884581.1846,882487.4366199744,2093.747980025597,0.23669370505233744
III - Central Luzon,2023,883379.6673,880865.8764143563,2513.7908856436843,0.2845651738087819
III - Central Luzon,2024,882041.6034,879244.3196473751,2797.283752624877,0.3171373937286184
Region IV-A - CALABARZON,2021,1030791.907,1024180.8231106331,6611.0838893669425,0.6413597006798136
Region IV-A - CALABARZON,2022,1029004.58,1020964.3743627318,8040.20563726814,0.7813576142944029
