Region,Year,SARIMAX_Forecast
Philippines,2021,16605430.997078903
Philippines,2022,16546995.667406993
Philippines,2023,16488599.597680356
Philippines,2024,16430230.394606963
Philippines,2025,16371879.577118458
NCR,2021,2921.4273494493723
NCR,2022,2919.320522592369
NCR,2023,2917.281251869262
NCR,2024,2915.307744524282
NCR,2025,2913.3982553765118
CAR,2021,1231278.741544153
CAR,2022,1228257.910994971
CAR,2023,1225241.3577210205
CAR,2024,1222228.013427193
CAR,2025,1219217.0766364778
I - Ilocos Region,2021,521366.469977043
I - Ilocos Region,2022,521074.38665156136
I - Ilocos Region,2023,520787.7196854333
I - Ilocos Region,2024,520506.13761120394
I - Ilocos Region,2025,520229.32924638607
II - Cagayan Valley,2021,1432388.7273477828
II - Cagayan Valley,2022,1428292.993574934
II - Cagayan Valley,2023,1424198.361071801
II - Cagayan Valley,2024,1420104.249081104
II - Cagayan Valley,2025,1416010.3831093356
III - Central Luzon,2021,884109.0118230701
III - Central Luzon,2022,882487.4366199744
III - Central Luzon,2023,880865.8764143563
III - Central Luzon,2024,879244.3196473751
III - Central Luzon,2025,877622.7636688083
Region IV-A - CALABARZON,2021,1024180.8231106331
Region IV-A - CALABARZON,2022,1020964.3743627318
Region IV-A - CALABARZON,2023,1017747.9256396862
Region IV-A - CALABARZON,2024,1014531.476916636
Region IV-A - CALABARZON,2025,1011315.0281935858
Region IV-B - MIMAROPA,2021,1747260.2642741294
Region IV-B - MIMAROPA,2022,1736110.603706332
Region IV-B - MIMAROPA,2023,1724973.7044016146
Region IV-B - MIMAROPA,2024,1713846.6064773218
Region IV-B - MIMAROPA,2025,1702727.0365741672
V - Bicol Region,2021,1076517.035405053
V - Bicol Region,2022,1074642.095813712
V - Bicol Region,2023,1072766.9324347307
V - Bicol Region,2024,1070891.6644568308
V - Bicol Region,2025,1069016.3475891275
VI - Western Visayas,2021,734201.521606659
VI - Western Visayas,2022,732662.0591893969
VI - Western Visayas,2023,731122.5815074039
VI - Western Visayas,2024,729583.1017986162
VI - Western Visayas,2025,728043.6218207183
VII - Central Visayas,2021,600734.0939276057
VII - Central Visayas,2022,599597.8106636181
VII - Central Visayas,2023,598461.6481699278
VII - Central Visayas,2024,597325.570080268
VII - Central Visayas,2025,596189.5509789566
VIII - Eastern Visayas,2021,1631284.2999080382
VIII - Eastern Visayas,2022,1625491.0177415255
VIII - Eastern Visayas,2023,1619686.480437223
VIII - Eastern Visayas,2024,1613891.0242474126
VIII - Eastern Visayas,2025,1608088.2410357608
IX - Zamboanga Peninsula,2021,837084.6451367061
IX - Zamboanga Peninsula,2022,832919.1665798099
IX - Zamboanga Peninsula,2023,828760.6743390119
IX - Zamboanga Peninsula,2024,824606.8553534241
IX - Zamboanga Peninsula,2025,820456.1623807377
X - Northern Mindanao,2021,1028068.1954236926
X - Northern Mindanao,2022,1026139.2860492041
X - Northern Mindanao,2023,1024212.099683808
X - Northern Mindanao,2024,1022286.147688991
X - Northern Mindanao,2025,1020361.0800021752
XI - Davao Region,2021,989848.9433598771
XI - Davao Region,2022,986428.4482012885
XI - Davao Region,2023,983016.2245206917
XI - Davao Region,2024,979609.7396584554
XI - Davao Region,2025,976207.2364348343
XII - SOCCSKSARGEN,2021,639988.754937826
XII - SOCCSKSARGEN,2022,637530.1789802229
XII - SOCCSKSARGEN,2023,635073.4990009979
XII - SOCCSKSARGEN,2024,632618.2190762269
XII - SOCCSKSARGEN,2025,630163.9729989392
XIII - Caraga Region,2021,1429566.3404844683
XIII - Caraga Region,2022,1420487.6435261592
XIII - Caraga Region,2023,1411419.84376227
XIII - Caraga Region,2024,1402360.094824715
XIII - Caraga Region,2025,1393306.2938222126
BARMM,2021,790965.430572227
BARMM,2022,789137.4417520734
BARMM,2023,787309.6197345839
BARMM,2024,785481.8697048194
BARMM,2025,783654.1507430992
